Title,Location,Price,Images,Meta Data,Feature,Description,URL
Apple iPhone XR 64GB /99%BH (Used),"Posted on 18 Oct 8:33 pm, Cumilla, Chattogram Division","Tk 38,000","['apple-iphone-xr-64gb-99-percent-bh-new-for-sale-chattogram-division@c1284c12-de48-435a-b4b2-0efecdff3ea9', 'apple-iphone-xr-64gb-99-percent-bh-new-for-sale-chattogram-division@bf716e52-a38e-423b-84bc-1d2767719c31', 'apple-iphone-xr-64gb-99-percent-bh-new-for-sale-chattogram-division@9e93cdec-3c08-46a7-9438-af5eb185bc18', 'apple-iphone-xr-64gb-99-percent-bh-new-for-sale-chattogram-division@d116a131-3971-4d91-a5e2-d1fea07c1fbc', 'apple-iphone-xr-64gb-99-percent-bh-new-for-sale-chattogram-division@441a45cd-6db1-4b4a-a3cd-4b2dfc08d678']","{'Condition:': 'Used', 'Brand:': 'Apple', 'Model:': 'iPhone XR', 'Edition:': '64GB /99%BH', 'Authenticity:': 'Original'}",,"New mobile 
IP = 11 nibo ei jonno sell dibo 
Nile call korben=",
OPPO F7 . (Used),"Posted on 18 Oct 8:31 pm, Uttara, Dhaka","Tk 7,500","['oppo-f7-used-for-sale-dhaka-1485@95cf016c-14b9-42ec-b81e-a5085f130d39', 'oppo-f7-used-for-sale-dhaka-1485@7fa95b1e-8c0d-4714-9ab8-fec860b31f0b', 'oppo-f7-used-for-sale-dhaka-1485@0e543e50-815e-4ae3-9871-b472077faddc', 'oppo-f7-used-for-sale-dhaka-1485@a65113eb-0e71-445c-a222-aa8353adb19a', 'oppo-f7-used-for-sale-dhaka-1485@6f7d0e26-5664-4410-a0b3-5aade6be8bfe']","{'Condition:': 'Used', 'Brand:': 'OPPO', 'Model:': 'F7', 'Edition:': '.', 'Authenticity:': 'Original'}",,fonta khubi valo...ekhono notuner moto ase soto bon chalato onto ekta fon nise tai sell kore dibe...na dekhle bujhbenna...ektu dag ase niche dike dewa ase..1 bosor age hoysilo pore gey but ekhono ager motoy ase...inshallah just nibe thokbena granty..fonta khubi valo,
Samsung Galaxy M21 . (Used),"Posted on 18 Oct 8:31 pm, Bateshwar, Sylhet","Tk 13,500","['samsung-galaxy-m21-used-for-sale-sylhet-53@7b4b6eb9-38b1-4187-b2b9-0737378bb3ea', 'samsung-galaxy-m21-used-for-sale-sylhet-53@f6d0d581-476d-4e6d-9e01-55af5f2c9c79', 'samsung-galaxy-m21-used-for-sale-sylhet-53@e9b52d65-ab33-40f0-a7bb-c972412cb1d7', 'samsung-galaxy-m21-used-for-sale-sylhet-53@ef9ca77d-fe4a-4a67-a447-f31461247fe2']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'Galaxy M21', 'Edition:': '.', 'Authenticity:': 'Original'}",,full fresh no pblm joto smy icha dekia niba full box,
Samsung Guru Music 2 6/128 (Used),"Posted on 18 Oct 8:31 pm, Mohakhali, Dhaka","Tk 12,500","['samsung-guru-music-2-6-128-used-for-sale-dhaka@822231f9-6cf0-4c47-b628-836c4ed13852', 'samsung-guru-music-2-6-128-used-for-sale-dhaka@5ae0e154-f650-494d-be10-7fd1474de9be', 'samsung-guru-music-2-6-128-used-for-sale-dhaka@2b705469-5d86-45c1-9a77-2103cc13eb19', 'samsung-guru-music-2-6-128-used-for-sale-dhaka@74cd1628-42a4-477a-9e47-99666881a623', 'samsung-guru-music-2-6-128-used-for-sale-dhaka@916fde46-510a-4c2b-ac2b-47750f913aaa']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'Guru Music 2', 'Edition:': '6/128', 'Authenticity:': 'Original'}",,"Samsung m31
ram.6
rom.128
display.supar amoled
front camera.32
back camera.64+8+5+5
buttery.6000
full details.youtube
ফোনটি একদম ফ্রেশ, এখোনো খোলা হয় নায়,ফোনটি ৬ মাসের মতো চালানো হইছে, পিছনে পলি লাগানো আছে,রেমবো প্রটেক্টর লাগানো আছে,ফোনের সাথে শুধু চার্জার পাবেন আর সিকিউরিটি চাইলে দেওয়া যাবে,
ফোনটি খুব ভালো,ব্যাটারি বেকাব অসাধারণ 
নিতে চাইলে যোগাযোগ করুন
অযথা কেউ ডিস্টার্ব করবেন না
দাম ফিক্সড দাম ফিক্সড দাম ফিক্সড",
Vivo Y21 . (Used),"Posted on 18 Oct 8:30 pm, Rajbari, Dhaka Division","Tk 10,500",['vivo-y21-used-for-sale-dhaka-division-537@cd9da341-b2a0-49d0-9b13-880308db5272'],"{'Condition:': 'Used', 'Brand:': 'Vivo', 'Model:': 'Y21', 'Edition:': '.', 'Authenticity:': 'Refurbished'}",,vivo y21 এই ফোনটি বিক্রয় করা হবে এই ফোনের পিরাইচ 10500 কেও কিনলে এই নম্বরে যোগাযোগ করবেন,
Apple iPhone XS Max 256GB Gold (Used),"Posted on 18 Oct 8:30 pm, Pabna, Rajshahi Division","Tk 31,000","['apple-iphone-xs-max-256gb-gold-used-for-sale-rajshahi-division-2@d917567a-1311-48c4-9d56-b600c72bbc11', 'apple-iphone-xs-max-256gb-gold-used-for-sale-rajshahi-division-2@0a902e30-130a-4ef4-b72c-dd6f88e549c2']","{'Condition:': 'Used', 'Brand:': 'Apple', 'Model:': 'iPhone XS Max', 'Edition:': '256GB Gold', 'Authenticity:': 'Original'}",,"iPhone Xs Max 256GB Gold Color For Sell
Face Id True Tone And Flashlight Disabled
Battery changed (need replacement)
Gevy Chip Diye Sim Chalate Hoy (Included)
For More Info Inbox
Only Real Buyers Knock Me",
Xiaomi Redmi Note 10 Pro 2022 (Used),"Posted on 18 Oct 8:29 pm, Jatrabari, Dhaka","Tk 18,000","['xiaomi-redmi-note-10-pro-2022-used-for-sale-dhaka-57@e54837a0-f70b-4257-a902-2125c6c9094d', 'xiaomi-redmi-note-10-pro-2022-used-for-sale-dhaka-57@72bae500-adab-4d7c-a5a6-adb9bad2a1f7', 'xiaomi-redmi-note-10-pro-2022-used-for-sale-dhaka-57@5430a962-cc9a-4af4-8945-cc44bd926474', 'xiaomi-redmi-note-10-pro-2022-used-for-sale-dhaka-57@a7664acd-8583-433f-999b-3f909dafb4af', 'xiaomi-redmi-note-10-pro-2022-used-for-sale-dhaka-57@305938cd-0626-45d5-8752-bf180e6684dc']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 10 Pro', 'Edition:': '2022', 'Authenticity:': 'Original'}",,৭ মাস ইউজড।  একদম ফ্রেশ যতক্ষন ইচ্ছে দেখে নিবেন। কন্ডিশন লাইক নিউ। বক্স চার্জার ক্যাশ মেমো সব আছে।,
Smart Watch for sell,"Posted on 18 Oct 8:29 pm, Mohammadpur, Dhaka",Tk 650,"['mobaail-ghrri-for-sale-dhaka-83@26d5f106-c11f-4f91-b2bc-a998fb1e41de', 'mobaail-ghrri-for-sale-dhaka-83@63f74176-cdb4-4ff7-951b-7b2d597dbf60', 'mobaail-ghrri-for-sale-dhaka-83@01840446-def4-4674-8c68-e8b73ff18681', 'mobaail-ghrri-for-sale-dhaka-83@587ef79a-00ba-474f-a996-07e84647f994', 'mobaail-ghrri-for-sale-dhaka-83@5240be78-7f60-4ba3-a891-2913887d71f3']","{'Condition:': 'Used', 'Wearable type:': 'Smart Watches'}",,"এন্ড্রয়েড মোবাইল ঘড়ি
১/সিঙেল সিম
২/ক্যামেরা
৩/মেমরী স্পেস
৪/ব্লুটুথ
৫/এন্ড্রয়েড সিস্টেম
কোনো সমস্যা নাই,,একদম ফ্রেশ,,যত খুশি দেখে ও চালিয়ে নিবেন,,কেউ নিতে চাইলে কল করুন,,ধন্যবাদ",
Samsung Galaxy A71 . (Used),"Posted on 18 Oct 8:29 pm, Narayanganj, Dhaka Division","Tk 23,500","['samsung-galaxy-a71-nij-used-for-sale-dhaka-division@41fa70a6-7072-43f9-8fcd-a14e9dda7b69', 'samsung-galaxy-a71-nij-used-for-sale-dhaka-division@d853b3c3-a6cf-41b5-a071-5c9532cc7e8e', 'samsung-galaxy-a71-nij-used-for-sale-dhaka-division@30f7bbf7-f665-4ac2-af79-3d456362be6e', 'samsung-galaxy-a71-nij-used-for-sale-dhaka-division@b9741d93-1d8b-47b0-a4d5-84588f922251', 'samsung-galaxy-a71-nij-used-for-sale-dhaka-division@ff66ea57-a974-43c3-8dbc-3df09d3cf67d']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'Galaxy A71', 'Edition:': '.', 'Authenticity:': 'Original'}",,"full fresh kono problem nai,,box nai
original charger ace,",
Symphony i70 (Used),"Posted on 18 Oct 8:29 pm, Mirpur, Dhaka","Tk 3,500","['symphony-i70-used-for-sale-dhaka-584@0bfeda05-b893-4d9e-887e-0b31a75d94be', 'symphony-i70-used-for-sale-dhaka-584@0b637379-f36a-4d0f-9b92-5d49f2d61550', 'symphony-i70-used-for-sale-dhaka-584@a8f0aab2-5544-45be-8581-7705935f359f', 'symphony-i70-used-for-sale-dhaka-584@f490ab5f-23f0-4c2e-81b6-ecb70bc809dc', 'symphony-i70-used-for-sale-dhaka-584@4b0a5511-a5bc-46c9-8f2f-1f8134af2509']","{'Condition:': 'Used', 'Brand:': 'Symphony', 'Model:': 'i70', 'Authenticity:': 'Original'}",,"ফোনে কোন সমস্যা নেই ,,, 
চার্জার নাই",
